recordist,date,time,location,longitude,latitude,elevation,climate
Jeremy Minns,2001-03-14,08:32,Conceicao de Ibitipoca,-43.8834,-21.7001,1200,tropical
Jeremy Minns,2002-06-10,10:21,"Ubatuba, SP. Fazenda Angelim",-45.1167,-23.4334,30,tropical
Jeremy Minns,2002-09-12,15:23,Serra dos Orgaos National Park. Teresopolis,-43.01,-22.4667,1400,tropical
Leonardo Pimentel,2007-07-02,10:45,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Nick Athanas,2008-08-11,08:26,"Estrada da Graciosa, Paraná state",-48.9001,-25.3334,910,subtropical
Noé Eiterer,2013-06-01,07:30,"Araponga, Minas Gerais",-42.5222,-20.6665,950,tropical
Ricardo Gagliardi,2007-03-07,14:00,"Itatiaia NP, Tres Picos trail, RJ",-44.6001,-22.4167,1500,tropical
Adrian Eisen Rupp,2007-06-09,?,"Lajeado Alto, Parque Nacional da Serra do Itajaí, Guabiruba/Blumenau, Santa Catarina ",-49.0809,-27.1164,720,subtropical
Bruno Arantes de Andrade Bueno,2013-04-21,16:30,"RPPN Guainumbi - São Luiz do Paraitinga, SP",-45.1648,-23.3178,1000,tropical
Ciro Albano,2010-08-28,16:25,"Ubatuba, SP. Folha Seca.",-45.2167,-23.5001,?,subtropical
Evair Legal,2010-01-20,11:00,"RPPN Prima Luna, Nova Trento, Santa Catarina ",-49.02,-27.25800000000001,900,subtropical
Evair Legal,2010-02-11,14:05,"RPPN Prima Luna, Nova Trento, Santa Catarina  ",-49.02,-27.25800000000001,900,subtropical
Frank Lambert,1993-04-15,?:?,"Rio de Janeiro, Serra do Orgaos NP",-42.99,-22.44,?,tropical
GABRIEL LEITE,2011-11-04,07:30,"São Luiz do Paraitinga, São Paulo",-45.1566,-23.3309,1000,tropical
Leonardo Pimentel,2007-06-19,14:05,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Nick Athanas,2005-05-22,10:30,"Itatiaia NP, RJ",-44.63,-22.38,1700,tropical
Noé Eiterer,2013-06-01,16:00,"Araponga, Minas Gerais",-42.5222,-20.6665,950,tropical
Ricardo Gagliardi,2006-06-15,11:00,Serra dos Órgãos National Park - RJ,-43.01,-22.448,1000,tropical
Teus Luijendijk,2010-07-23,12:07,"Estrada da Graciosa, Paraná state",-48.9001,-25.3334,920,subtropical
Carlos Candia-Gallardo,2006-05-24,10:30,"Moji Valley, Cubatao, Sao Paulo state",-46.3834,-23.8334,20,subtropical
Eduardo Patrial,2008-12-25,18:35,"Balneário Pontal, Itapoá, SC",-48.6,-26.16667,6,subtropical
GABRIEL LEITE,2009-04-09,07:00,"São José dos Campos, São Paulo",-45.9613,-23.2119,550,tropical
Glauco Alves Pereira,2005-12-18,09:07,"Mata de Aldeia, Camaragibe, Pernambuco",-34.9667,-8.0167,80,tropical
Jeremy Minns,1997-12-06,05:52,"Ubatuba, SP. Corcovado.",-45.2167,-23.5001,40,subtropical
Jeremy Minns,2000-08-14,06:35,"Caraguatatuba, São Paulo state. 'Hípica as Gaivotas'",-45.3167,-23.5667,10,subtropical
Jeremy Minns,2001-01-22,06:00,"Maraú, BA",-39.0501,-14.1334,50,tropical
Jeremy Minns,2004-03-14,07:58,"Reserva Natural da Vale - Linhares, Espirito Santo",-40.0645,-19.1456,40,tropical
Marcos Melo,2008-08-15,10:30,"Bairro do Jaceguava, São Paulo, SP",-46.735334,-23.752501000000002,760,subtropical
Nick Athanas,2005-04-20,07:20,"Cabo Frio, RJ",-42.0273,-22.9509,5,tropical
Noé Eiterer,2011-05-10,08:00,"Viçosa, Minas Gerais",-42.8882,-20.79,800,tropical
Noé Eiterer,2011-05-20,08:30,"Viçosa, Minas Gerais",-42.8882,-20.79,800,tropical
Noé Eiterer,2013-04-10,14:30,"Viçosa, Minas Gerais",-42.8882,-20.79,800,tropical
Rolf A. de By,1998-12-19,14:23,"marsh 10 km W of Angra dos Reis, SW Rio de Janeiro",-44.3717,-22.9256,0,tropical
Sidnei de Melo Dantas,2004-05-19,08:00,"Refúgio Ecológico Charles Darwin, Igarassu, Pernambuco",-34.9501,-7.8001,30,tropical
William Zaca,2013-03-21,10:00,"Rio de Janeiro, Itatiaia National Park",-44.6,-22.3,1400,tropical
Alexander Lees,2010-11-17,07:18,"Paragominas, PA, Brazil, Bacia 342 ",-48.183,-3.3110000000000004,?,tropical
Allen T. Chartier,1993-11-11,?,"Fazenda Rancho Grande, Rondonia",-62.8667,-10.3167,200,tropical
Allen T. Chartier,1993-11-11,?,"Fazenda Rancho Grande, Rondonia",-62.8667,-10.3167,200,tropical
Bradley Davis,2007-08-04,17:10,"Pousada Rio Azul, PA",-55.986999999999995,-9.2456,220,tropical
Bradley Davis,2011-02-02,09:14,"Bacia 157, Santarem",-54.4928,-2.8328,?,tropical
Eric DeFonso,2011-09-29,05:45,"Floresta Amazonica Hotel, Alta Floresta, MT",-56.0981,-9.8781,280,tropical
GABRIEL LEITE,2011-08-27,11:00,"Parauapebas, Para",-50.2968,-6.1802,440,tropical
GABRIEL LEITE,2013-10-10,08:00,"Rio Branco, Acre",-67.5989,-10.0446,170,tropical
Glauco Alves Pereira,2006-10-28,9:32,"Parque Dois Irmãos, Recife, Pernambuco",-34.8809,-8.0539,60,tropical
Jeremy Minns,2002-01-29,09:54,Serra dos Carajás. Road to Salobo,-50.2667,-6.0501,660,tropical
Jeremy Minns,2003-11-25,16:33,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Nick Athanas,2006-01-22,17:00,"Serra dos Carajás, PA",-50.3459,-6.1603,580,tropical
Sidnei de Melo Dantas,2005-12-20,07:00,"Tucuruí dam, left margin of the lake, state of Pará",-49.6034,-4.3662,50,tropical
Bradley Davis,2006-07-15,10:45,"Serra dos Caiabis, Alta Floresta - MT",-56.7501,-10.7501,330,tropical
Bradley Davis,2007-07-30,12:40,"Pousada Rio Azul, PA",-55.986999999999995,-9.2456,220,tropical
GABRIEL LEITE,2009-04-21,07:30,Tocantins,-48.18600000000001,-6.0832,150,tropical
Jeremy Minns,1997-11-10,16:00,"Reserva Biológica de Sooretama, ES",-40.01,-19.01,60,tropical
Jeremy Minns,1999-05-03,06:22,"Camamu, Bahia",-39.1834,-14.01,50,tropical
Marcos Melo,2009-01-23,07:00,"Reserva Natural da Vale - Linhares, Espirito Santo",-40.0645,-19.1456,50,tropical
Marcos Melo,2010-07-24,07:10,"Presidente Figueiredo, Amazonas",-59.997,-2.028,50,tropical
Marcos Melo,2010-07-24,07:15,"Presidente Figueiredo, Amazonas",-59.997,-2.028,50,tropical
Rolf A. de By,2006-06-11,06:10,"km 18 Balbina rd, Comunidad Uniao",-59.8667,-2.0462,70,tropical
Thiago Orsi Laranjeiras,2013-02-07,16:30,"Estrada do Portão, Parque Nacional do Viruá, Caracaraí, Roraima",-60.9921,1.4851,90,tropical
Thiago Vernaschi V. Costa,2005-08-17,07:00,"ZF3 road, 80km north of Manaus",-60.06399999999999,-2.333,?,tropical
Tulio Dornas,2010-03-18,8:30h,"Corrego Porteira, Tupirama, Tocantins",-48.205,-8.875,210,tropical
Weber Girão,2004-08-16,?,"Estação Ecológica de Murici, Alagoas",-35.9334,-9.3001,600,tropical
Andrew Spencer,2009-09-09,15:30,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Andrew Spencer,2009-09-09,15:30,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Andrew Spencer,2009-09-09,15:30,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Bradley Davis,2006-06-12,08:00,"Serra dos Caiabis, Alta Floresta - MT",-56.7501,-10.7501,310,tropical
Eric DeFonso,2011-09-26,17:01,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
GABRIEL LEITE,2010-06-15,09:00,"Manaus, Amazonas",-60.0664,-2.8498,90,tropical
GABRIEL LEITE,2012-08-09,09:00,"Tapauá, Amazonas",-63.2057,-5.6909,70,tropical
Jeremy Minns,2000-12-02,17:49,"Porto Grande, AP. Hotel Sonho Meu",-51.4834,0.6834,60,tropical
Marcos Melo,2010-07-23,17:00,"Presidente Figueiredo, Amazonas",-59.997,-2.028,50,tropical
Nick Athanas,2006-02-01,07:20,"Reserva Biologica da Campina, north of Manaus",-60.0306,-2.5909,70,tropical
Richard C. Hoyer,2005-09-29,15:00,"Reserva Biologica da Campina, north of Manaus",-60.0306,-2.5909,140,tropical
Thiago Orsi Laranjeiras,2013-01-06,10:30,"Estrada do Neri, Parque Nacional do Viruá, Caracaraí, Roraima",-60.9823,1.4546,70,tropical
Adrian Eisen Rupp,2009-01-13,?,"Morro do Cachorro, Blumenau, Santa Catarina",-49.0401,-26.7776,500,subtropical
Alexandre Bianco,2013-10-02,11:00,"Campina Grande do Sul, Parana",-49.0524,-25.3067,900,subtropical
Bradley Davis,2008-04-08,17:50,"Parque Estadual Intervales, SP",-48.4181,-24.2759,850,subtropical
Bradley Davis,2008-04-08,17:50,"Parque Estadual Intervales, SP",-48.4181,-24.2759,850,subtropical
Daniel Lane,2006-11-05,11:10,"Estrada da Graciosa, Paraná state",-48.9001,-25.3334,900,subtropical
Douglas Meyer,2013-01-27,07:52,"Doutor Pedrinho, Santa Catarina",-49.452,-26.7691,550,subtropical
Evair Legal,2011-12-19,?,"Salseiro, Vidal Ramos, Santa Catarina",-49.379082000000004,-27.39726,450,subtropical
Jeremy Minns,2000-06-02,09:28,"Boraceia Biological Station, SP state",-45.8667,-23.6334,825,subtropical
Leonardo Pimentel,2006-08-08,13:38,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Ricardo Gagliardi,2009-07-09,11:35,Serra dos Órgãos National Park - RJ ,-43.01,-22.448,1500,tropical
Rodrigo Dela Rosa de Souza,2011-06-12,08:30,São José dos Campos-São Paulo,-45.8655,-22.8745,1500,tropical
Rodrigo Dela Rosa de Souza,2011-07-13,12:00,"Microregion of Caraguatatuba, São Paulo",-45.5816,-23.686999999999998,550,subtropical
Adrian Eisen Rupp,2008-06-05,?,"Gleba maior Reserva Biológica Estadual do Sassafrás, Doutor Pedrinho, Santa Catarina",-49.6756,-26.7117,920,subtropical
Adrian Eisen Rupp,2009-05-22,?,"Poço Verde, Parque Nacional das Araucárias, Ponte Serrada, Santa Catarina",-51.9031,-26.8131,880,subtropical
Adrian Eisen Rupp,2009-10-22,?,"Fazenda Santa Rita, Parque Nacional da Serra do Itajaí, Indaial, Santa Catarina",-49.1573,-27.1073,740,subtropical
Antonio Silveira,1991-10-00,9am,"Picinguaba,Ubatuba,São Paulo State",-44.833999999999996,-23.357,10,tropical
Antonio Silveira,1991-10-01,10:00,Serra do Mar State Park. Picinguaba,-44.8834,-23.3334,5,tropical
Antonio Silveira,2004-10-01,09:00,Serra do Mar State Park. Cunha,-45.028,-23.267,1100,tropical
Antonio Silveira,2007-09-27,09:00,"Fazenda Montanhas do Japí,Serra do Japí,Jundiai,São Paulo State",-46.912,-23.245,900,tropical
Bernabe Lopez-Lanus,2004-02-22,am,"Itatiaia NP, Tres Picos trail, RJ",-44.6001,-22.4167,?,tropical
Bernabe Lopez-Lanus,2004-02-23,xx:xx,Itatiaia National Park - Simon Hotel,-44.6301,-22.3798,2300,tropical
Bob Planqué,2005-11-26,9:00,"Parque do Zizo, Sao Paulo State",-47.81044,-24.017146,630,subtropical
Cid Espínola,2011-06-17,08:36,Campo Belo do Sul - Santa Catarina State,-50.75899999999999,-27.9,1017,subtropical
Daniel Lane,2011-02-13,08:40,"Parque Estadual Intervales, SP",-48.4181,-24.2759,850,subtropical
Don Jones,1997-09-08,?,"Itatiaia NP, RJ",-44.63,-22.38,?,tropical
Eduardo D. Schultz,2012-11-20,09:00,Serra da Cantareira State Park. São Paulo,-46.6167,-23.4667,800,subtropical
Frank Lambert,2006-08-25,10:00,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,700,tropical
GABRIEL LEITE,2011-06-26,10:00,"São José dos Campos, São Paulo",-45.9388,-23.0726,700,tropical
Gilberto Sander Muller,2012-09-15,17:30,"Sitio água da rainha , São Francisco de Paula, RS",-50.5728,-29.4934,800,subtropical
Guilherme R R Brito,2008-10-03,17:00,"Left bank of Rio Teles Pires, Paranaita, Mato Grosso",-56.9851,-9.2373,170,tropical
Gustavo S Cabanne,2007-09-22,8:00,"Guarau, Peruibe, Sao Paulo",-47.0226,-24.3701,3,subtropical
Jeremy Minns,1997-02-14,06:40,"Ubatuba, SP. Corcovado.",-45.2167,-23.5001,40,subtropical
Jeremy Minns,2000-04-05,09:22,"Boraceia Biological Station, SP state",-45.8667,-23.6334,825,subtropical
Jeremy Minns,2001-01-05,06:45,"Ubatuba, SP. Folha Seca.",-45.2167,-23.5001,30,subtropical
Jeremy Minns,2002-09-11,08:50,"Teresópolis, RJ. Canoas",-42.9001,-22.4001,900,tropical
João Gava,2012-09-10,17:30,"Nova Veneza, Santa Catarina state, Brazil",-49.5073,-28.6301,100,subtropical
Joao Menezes,2008-07-15,7:02,"Poço Preto trail, Iguaçu NP, Parana state",-54.4326,-25.6084,220,subtropical
Luiz C.Silva,2012-09-01,?,"Parque Estadual Lago Azul, campo mourao, paraná",-52.387,-24.331,630,subtropical
Nargila Moura,2010-12-14,?,"Floresta Nacional do Tapajós, Bacia 165, Santarem, Para ",-54.997,-2.7539999999999996,?,tropical
Rodrigo Dela Rosa,2013-07-08,09:30,"São José dos Campos, São Paulo",-45.9388,-23.0726,700,tropical
Adrian Eisen Rupp,2008-10-18,?,"Caratuva, Parque Nacional das Araucárias, Ponte Serrada, Santa Catarina",-51.9912,-26.8359,1000,subtropical
Cid Espínola,2012-09-05,08:29,Campo Belo do Sul - Santa Catarina State,-50.757,-27.9159,1017,subtropical
Claydson P. de Assis,2007-08-25,00:00:00,"APA da Bocaina, Sertao da Bocaina, SP",-44.880524,-23.182973,1200,tropical
Eduardo Patrial,2007-11-00,?,"Parque Estadual Intervales, SP",-48.4181,-24.2759,?,subtropical
Evair Legal,2010-01-20,11:50,"RPPN Prima Luna, Nova Trento, Santa Catarina  ",-49.02,-27.25800000000001,1090,subtropical
Gustavo S Cabanne & Frank Rheindt,2006-07-25,11:00,Itatiaia National Park - Agulhas Negras road,-44.7334,-22.3667,1800,tropical
Jeremy Minns,2002-08-12,17:16,Parque Estadual Intervales. Barra Grande,-48.3834,-24.2667,800,subtropical
Jeremy Minns,2002-08-12,17:44,Parque Estadual Intervales. Barra Grande,-48.3834,-24.2667,800,subtropical
Jeremy Minns,2003-10-30,08:39,Parque Estadual Intervales. Barra Grande,-48.3834,-24.2667,800,subtropical
Jeremy Minns,2003-10-30,10:52,Parque Estadual Intervales. Barra Grande,-48.3834,-24.2667,800,subtropical
Andrew Spencer,2012-10-11,07:20,"Pousada Piuval, Transpantaneira km 12, MT",-56.6167,-16.3834,120,tropical
Andrew Spencer,2012-10-11,07:20,"Pousada Piuval, Transpantaneira km 12, MT",-56.6167,-16.3834,120,tropical
Evair Legal,2010-01-31,10:00,"Centro, Angelina, Santa Catarina",-49.001999999999995,-27.552,430,subtropical
Fernando Jacobs,2006-11-02,06:00,"Figueiras - Pelotas, Rio Grande do Sul",-52.3276,-31.7184,0,subtropical
Jeremy Minns,2000-01-11,08:06,Aquidauana,-55.8167,-20.4834,174,tropical
Jeremy Minns,2000-09-18,06:13,"Transpantaneira south of Pixaim, MT",-56.8448,-16.8248,110,tropical
Jeremy Minns,2000-09-19,06:09,"Fazenda Santa Tereza, Rio Pixaim, Mato Grosso",-56.8501,-16.7501,110,tropical
Joao Menezes,2008-07-09,8:53,"Eldorado, Mato Grosso do Sul state",-54.2537,-23.8501,340,subtropical
Marcos Melo,2011-05-26,08:50,"Rio do Peixe, Socorro, Sao Paulo state",-46.49800000000001,-22.624000000000002,800,tropical
Nick Athanas,2005-04-19,09:15,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,30,tropical
Noé Eiterer,2011-08-28,09:00,"Viçosa, Minas Gerais",-42.8882,-20.79,800,tropical
Rafael Antunes Dias,2011-10-06,10:00,"Banhado do Maçarico region, Rio Grande, Rio Grande do Sul",-52.479,-32.523,8,subtropical
Rafael Antunes Dias,2011-12-07,09:00,"Banhado do Maçarico region, Rio Grande, Rio Grande do Sul",-52.48,-32.525999999999996,8,subtropical
Bob Planque,2011-05-17,11:30,"Panga Research Station, Minas Gerais",-48.393574,-19.182381,700,tropical
Eric DeFonso,2011-09-02,16:30,"Pantanal Wildlife Center, MT",-56.8764,-16.7581,110,tropical
Frank Lambert,2004-06-14,?:?,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,240,tropical
GABRIEL LEITE,2009-10-14,07:30,Tocantins,-49.0237,-12.0554,280,tropical
Guilherme R R Brito,2005-06-00,6:24,"Raimundinho Doce, São Joao dos Patos - Maranhao State",-43.5812,-6.6628,?,tropical
Helberth Cardoso,2008-04-27,?,"Inhotim, Brumadinho, Minas Gerais State",-44.219091,-20.123894,?,tropical
Jeremy Minns,1999-12-19,09:34,Cavernas do Peruaçu National Park,-44.2501,-15.0334,750,tropical
Jeremy Minns,2002-02-08,07:43,"Correntina, BA",-44.6334,-13.3501,450,tropical
Jeremy Minns,2002-07-25,08:53,"Boa Nova, BA - dry forest",-40.2001,-14.3834,740,tropical
Joao Menezes,2008-12-14,07:00,"Eldorado, Mato Grosso do Sul state",-54.2537,-23.8501,340,subtropical
Jose Raimundo do Nascimento,2008-08-31,08:50,Fazenda Lajes - Juazeiro-BA,-40.4448,-9.7398,420,tropical
Marcos Melo,2009-09-26,05:50,"Itu, São Paulo",-47.298889,-23.270681,590,tropical
Marcos Melo,2009-09-26,05:50,"Itu, São Paulo",-47.298889,-23.270681,590,tropical
Marcos Melo,2009-09-26,05:50,"Itu, São Paulo",-47.298889,-23.270681,590,tropical
Marcus Braun,2012-05-12,17:40,"São Desiderio, west Bahia",-44.9733,-12.3633,500,tropical
Mauricio Cabral Periquito,2006-08-27,8:51,"Parque Nacional do Catimbau, Buíque, state of Pernambuco",-37.20932,-8.585094999999999,800,tropical
Noé Eiterer,2011-04-15,11:00,"Viçosa, Minas Gerais",-42.8882,-20.79,800,tropical
Renan Campos de Oliveira,2010-07-24,7:45,"Parque Estadual Mata dos Godoy, Londrina, Parana",-51.2334,-23.4501,600,subtropical
Ricardo Gagliardi,2009-12-26,19:30,"Turmalina, SP",-50.453,-20.049,?,tropical
Alexander Lees,2010-12-13,06:15,"Floresta Nacional do Tapajós, Bacia 165, Santarem, Para ",-54.997,-2.7539999999999996,?,tropical
Alexander Lees,2011-05-20,06:12,"Paragominas, PA, Brazil, Bacia 549",-48.376999999999995,-3.8101,?,tropical
Alexandre Renaudier,2009-07-19,?:?,"Borba, Amazonas",-59.59340600000001,-4.388175,?,tropical
Alexandre Renaudier,2009-07-19,?:?,"Borba, Amazonas",-59.59340600000001,-4.388175,?,tropical
Antonio Silveira,2002-09-00,08:00,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Dan Lane,2013-01-29,09:00,"RPPN Estação Veracel, Porto Seguro, Bahia",-39.1395,-16.3458,90,tropical
Eric DeFonso,2011-09-12,16:35,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
GABRIEL LEITE,2012-10-10,11:30,"Itaituba, Para",-56.3338,-4.5778,70,tropical
GABRIEL LEITE,2013-08-23,10:00,"Itaituba, Para",-56.9861,-5.4957,150,tropical
Glauco Alves Pereira,2003-08-17,10:00,"Estação Ecológica de Murici, Alagoas",-35.9334,-9.3001,550,tropical
Jeremy Minns,2001-01-16,07:45,"Reserva Natural da Vale - Linhares, Espirito Santo",-40.0645,-19.1456,40,tropical
Leonardo Pimentel,2007-07-03,14:00,"Reserva Ecológica de Guapiaçu, RJ",-42.7167,-22.5001,?,tropical
Scott Olmstead,2006-06-11,?,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Alexandre Renaudier,2010-11-22,?,"Urariquera bridge, north of Boa Vista",-58.9028,4.2417,?,tropical
Andrew Spencer,2009-09-02,17:00,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Bernabe Lopez-Lanus,1992-02-17,?:?,"Fazenda das Araras, Ruta Transpantaneira, Pocone, Mato Grosso",-56.71262700000001,-16.512178,?,tropical
Eric DeFonso,2011-09-04,06:15,"Pantanal Wildlife Center, MT",-56.8764,-16.7581,110,tropical
Eric DeFonso,2011-10-08,08:25,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Eric DeFonso,2011-10-08,08:26,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Eric DeFonso,2011-10-08,08:33,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
GABRIEL LEITE,2011-07-08,08:30,"Alto Alegre do Pindaré, Maranhao",-45.8465,-3.6668,20,tropical
GABRIEL LEITE,2011-07-13,09:00,"Arari, Maranhao",-44.8029,-3.5035,10,tropical
GABRIEL LEITE,2012-10-10,07:00,"Itaituba, Para",-56.3338,-4.5778,70,tropical
Jeremy Minns,2003-12-04,08:24,"Pousada Araras, Pantanal, MT",-56.7167,-16.5167,120,tropical
Luiz Fernando Figueiredo,0000-00-00,?,"Estacao Ecologica de Jatai - Luis Antonio, Sao Paulo State",-47.716667,-21.55,651,tropical
Marcos A. Melo,2013-06-23,06:30,"Xapuri, Acre",-68.2818,-10.7427,220,tropical
Marcos A. Melo,2013-06-23,06:30,"Xapuri, Acre",-68.2818,-10.7427,220,tropical
Nargila Moura,2011-01-10,?,"Bacia 69, Santarem, PA",-54.6528,-2.5601,?,tropical
Nargila Moura,2011-01-10,06:30,"Bacia 69, Santarem, PA",-54.6528,-2.5601,?,tropical
Noé Eiterer,2013-11-06,07:30,"Brasilia, Federal District",-47.9114,-15.8219,1100,tropical
Ricardo Gagliardi,2009-12-26,18:50,"Turmalina, SP",-50.455,-20.052,?,tropical
Tayler Brooks,2011-08-18,7:05,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,200,tropical
Adrian Eisen Rupp,2008-09-30,?,"Barra do Monte Alegre, Chapecó, Santa Catarina",-52.5856,-27.2353,385,subtropical
Adrian Eisen Rupp,2008-12-04,?,"Rio da Prata, Veranópolis, Rio Grande do Sul",-51.4664,-28.932,300,subtropical
Adrian Eisen Rupp,2009-08-18,15:10,"Ribeirão Quati, Parque Nacional da Serra do Itajaí, Indaial, Santa Catarina",-49.2181,-27.0423,600,subtropical
Adrian Eisen Rupp,2009-09-16,?,"Linha Emília, Dois Lajeados, Rio Grande do Sul ",-51.7806,-28.9403,200,subtropical
Bob Planqué,2005-11-09,17:30,"Parque Estadual Intervales, SP",-48.4181,-24.2759,830,subtropical
Eduardo Patrial,2007-11-00,pm,"Parque Estadual Intervales, SP",-48.4181,-24.2759,830,subtropical
Fernando Jacobs,2006-11-10,08:27,"near Arroio Santa Bárbara - Pelotas, Rio Grande do Sul",-52.4067,-31.691999999999997,0,subtropical
Fernando Jacobs,2006-11-14,07:40,"near Arroio Santa Bárbara - Pelotas, Rio Grande do Sul",-52.4067,-31.691999999999997,0,subtropical
Jeremy Minns,2001-03-17,06:03,Itatiaia National Park - Agulhas Negras road,-44.7334,-22.3667,1800,tropical
Jeremy Minns,2001-03-17,11:04,Itatiaia National Park - Agulhas Negras road,-44.7334,-22.3667,1950,tropical
Jeremy Minns,2002-03-17,10:18,Serra do Mar State Park. Curucutú,-46.7667,-23.9501,800,subtropical
Jeremy Minns,2002-09-11,08:38,"Teresópolis, RJ. Canoas",-42.9001,-22.4001,900,tropical
Jeremy Minns,2003-10-30,06:21,Parque Estadual Intervales. Barra Grande,-48.3834,-24.2667,800,subtropical
Luiz C.  Silva,2013-10-10,17:30,"Campo Mourao, Paraná.",-52.3828,-24.0458,600,subtropical
Marcos Melo,2008-10-13,07:45,"Pq. Vila do Rodeio, São Paulo - SP",-46.4062,-23.5737,?,subtropical
Marcos Melo,2010-01-25,09:20,"APA da Bacia do Rio Paraíba do Sul - Guarulhos, SP",-46.4058272839247,-23.303893531539305,1050,tropical
Marcos Melo,2010-08-13,07:30,"Fazenda Santa Maria, Sao Paulo",-46.608999999999995,-23.434,740,tropical
Nick Athanas,2005-05-19,10:00,"Parque Estadual Intervales, SP",-48.4181,-24.2759,850,subtropical
Rafael Antunes Dias,2011-09-20,17:00,"Trilha da Figueira, Tavares, Rio Grande do Sul",-51.0719,-31.3266,10,subtropical
Renan Campos de Oliveira,2010-09-17,8:05,"Parque Estadual Mata dos Godoy, Londrina, Parana",-51.2334,-23.4501,600,subtropical
Ricardo Gagliardi,2007-04-22,06:15,Taquaril - Petrópolis - RJ,-43.077,-22.3023,1000,tropical
Rolf A. de By,1998-12-08,15:36,"Itatiaia NP, RJ",-44.63,-22.38,?,tropical
Adrian Eisen Rupp,2007-10-06,6:09,"Gleba maior Reserva Biológica Estadual do Sassafrás, Doutor Pedrinho, Santa Catarina",-49.6756,-26.7117,920,subtropical
Adrian Eisen Rupp,2009-06-10,?,"Agrião, Parque Nacional da Serra do Itajaí, Presidente Nereu, Santa Catarina",-49.2151,-27.1737,500,subtropical
Cid Espínola,2012-01-20,09:31,"Florianópolis, Santa Catarina",-48.48,-27.594,0,subtropical
Daniel Lane,2007-10-06,13:00,"Horto Florestal, Cantareira, Sao Paulo city, Sao Paulo state",-46.63800000000001,-23.46,830,subtropical
Jeremy Minns,2000-08-14,08:58,"Caraguatatuba, São Paulo state. 'Hípica as Gaivotas'",-45.3167,-23.5667,10,subtropical
Jeremy Minns,2001-03-14,07:59,Conceicao de Ibitipoca,-43.8834,-21.7001,1200,tropical
Jeremy Minns,2003-10-09,07:02,Parque Estadual Intervales. Barra Grande,-48.3834,-24.2667,800,subtropical
Jeremy Minns,2003-10-09,07:07,Parque Estadual Intervales. Barra Grande,-48.3834,-24.2667,800,subtropical
Nick Athanas,2005-05-20,10:30,"Parque Estadual Intervales, SP",-48.4181,-24.2759,850,subtropical
Noé Eiterer,2012-02-11,08:30,"Juiz de Fora, Minas Gerais",-43.3488,-21.765,700,tropical
Ricardo Gagliardi,2006-05-27,10:30,ReBio Tinguá - Petrópolis - RJ,-43.186569,-22.506531,1000,tropical
Adrian Eisen Rupp,2009-12-04,?,"Bom Jardim da Serra, Santa Catarina ",-49.6125,-28.4673,1400,subtropical
Alexander Lees,2011-12-10,07:00,"PA-154 near Cachoeira do Arari, Marajo Island",-48.746,-0.95,3,tropical
Alexandre Renaudier,2010-11-21,?,"Urariquera bridge, north of Boa Vista",-58.9028,4.2417,?,tropical
Alexandre Renaudier,2010-11-22,?,"Urariquera bridge, north of Boa Vista",-58.9028,4.2417,?,tropical
Alexandre Renaudier,2010-11-22,?,"Urariquera bridge, north of Boa Vista",-58.9028,4.2417,?,tropical
Andrew Spencer,2012-10-11,13:00,"Pousada Piuval, Transpantaneira km 12, MT",-56.6167,-16.3834,120,tropical
Antonio Silveira,2008-05-16,7am,"Region of Mutum River, Barão de Melgaço, MT",-55.863,-16.344,135,tropical
Bernabe Lopez-Lanus,2007-07-07,?:?,"Sao Francisco de Paula, Rio Grande do Sul",-50.58,-29.454,?,subtropical
Bernabe Lopez-Lanus,2007-07-07,?:?,"Sao Francisco de Paula, Rio Grande do Sul",-50.58,-29.454,?,subtropical
Bernabe Lopez-Lanus,2007-07-07,?:?,"Sao Francisco de Paula, Rio Grande do Sul",-50.58,-29.454,?,subtropical
Bernabe Lopez-Lanus,2007-07-07,?:?,"Sao Francisco de Paula, Rio Grande do Sul",-50.58,-29.454,?,subtropical
